id,ipa,buildNo,vin,engineNo,modelDesc,addSpec,variantCode
480,45456,215208,ZFA25000002R29659,F1AGL41153971783, LB Super Lo-Line (AU) Silver Metallic,Media pack,ATF4AXETF1L2
481,47016,215209,ZFA25000002R36792,F1AGL41153979121,Frontier Delaware Hi-Line (AU) Grigio Grey Metalli,"Half Dinette, Media Pack",ATA4AFFFA2H4
482,47016,215210,ZFA25000002R33456,F1AGL41153971797,Frontier Delaware Hi-Line (AU) Grigio Grey Metalli,0,ATA4AFFFA1H2
483,45456,215222,ZFA25000002R40914,F1AGL41153981990,Imala 734 Hi-Line  (AU)  Bianco White,"Half Dinette, Media Pack",ATF4AXEBG2H4
484,45456,215223,ZFA25000002R39666,F1AGL41153981912,Imala 734 Hi-Line  (AU)  Bianco White,"Half Dinette, Media Pack",ATF4AXEBG2H4
485,47016,215231,ZFA25000002R47192,F1AGL41153989403,Frontier Scout Hi-Line  (AU) Grigio Grey Metallic,Rear Facing Seat Belts,ATA4AFFFD5H6
486,47016,215232,ZFA25000002R47253,F1AGL41153989393,Frontier Scout Hi-Line (AU) Grigio Grey Metallic,Rear Facing Seat Belts,ATA4AFFFD5H6
487,47016,215243,ZFA25000002R37676,F1AGL41153980386,Frontier Delaware HB Hi-Line (AU) Grigio Grey Meta,Half Dinette,ATA4AFFFA2H4
488,45456,215250,ZFA25000002R43433,F1AGL41153978484,Imala 730 HB Hi-Line  (AU)  Bianco White,"Half Dinette, Media Pack",ATF4AXEBD2H4
489,45456,215251,ZFA25000002R40971,F1AGL41153981896,Imala 730 HB Hi-Line  (AU)  Bianco White,"Half Dinette, Media Pack",ATF4AXEBD2H4
490,45456,215253,ZFA25000002R70509,F1AGL41154012130,Imala 730 HB Lo-Line  (AU)  Silver Metallic,"Half Dinette, Boom Arm Table, Media Pack",ATF4AXEBD2L4
491,45456,215272,ZFA25000002R74260,F1AGL41154016281, LB Super Lo-Line  (AU)  Silver Metallic,Media Pack,ATF4AXETF1L2
492,45456,215273,ZFA25000002R75853,F1AGL41154018213, LB Super Lo-Line  (AU)  Silver Metallic,Media Pack,ATF4AXETF1L2
493,47016,215279,ZFA25000002R69357,,SCOUT (AUS),,
494,47016,215281,ZFA25000002R70234,,SCOUT (AUS),,
495,45456,210343,ZFA25000002R37206,,IMALA 625 (AUS),,
496,45456,210344,ZFA25000002R40176,F1AGL41123983257,Imala 625 Hi-Line (AU) Bianco White,Media Pack,ATF3AVEBB7H2
497,45456,210384,ZFA25000002M62206,,IMALA 730 (AUS),,
498,45456,210388,ZFA25000002S57466,,IMALA 625 (AUS)  ,,
499,45456,210389,ZFA25000002S57757,,IMALA 625 (AUS)  ,,
500,45456,210390,ZFA25000002S57129,, TRACKER EKS(AUS)  ,,
501,45456,210391,ZFA25000002S58031,,TRACKER EKS (AUS),,
502,45456,210426,ZFA25000002S65463,, TRACKER FB (AUS)  ,,
503,45456,210427,ZFA25000002S67182,,TRACKER FB (AUS),,
504,45456,210428,ZFA25000002S67151,,TRACKER FB (AUS),,
505,45456,210429,ZFA25000002S67191,,TRACKER FB (AUS)  ,,
506,45456,215346,ZFA25000002N57629,,IMALA 730 HB (AUS),,
507,47016,215363,ZFA25000002S23861,,DELAWARE HB (AUS),,
508,45456,215375,ZFA25000002S66107,,TRACKER LB (AUS),,
509,45456,215377,ZFA25000002S65406,,TRACKER LB (AUS),,
510,45456,215384,ZFA25000002S65651,,TRACKER LB (AUS),,
511,45456,215385,ZFA25000002S65856,,TRACKER LB (AUS),,
512,45456,215386,ZFA25000002S65910,,TRACKER LB (AUS),,
513,45456,215404,ZFA25000002S65377,,TRACKER SB (AUS),,
514,45456,215405,ZFA25000002S65860,,TRACKER SB (AUS),,
515,45456,215406,ZFA25000002S65476,,TRACKER SB (AUS),,
516,45456,215408,ZFA25000002S65798,,TRACKER SB (AUS),,
517,45456,215409,ZFA25000002S65805,,TRACKER SB (AUS),,
